Cumulative Return,Sharpe Ratio,Volatility,Max Drawdown,asset_type,factor,mode
0.7764195639807183,0.5342149526007828,0.31808352918409416,-0.4480921816221962,Equity,momentum,long_short
3.1140368789112784,1.1895485425224053,0.2797709195829897,-0.36312021029349395,Equity,momentum,long_only
-0.07766417262083769,0.043430926431592014,0.2161123055299813,-0.389090654786333,Equity,value,long_short
2.467630362918804,0.9280741658605013,0.26967288189621497,-0.46615832095848875,Equity,value,long_only
1983.6890117763794,4.734887802020238,0.2974512410620338,-0.12554637051937456,Equity,quality,long_short
133.6747398687259,3.4158454479188505,0.2681661571534281,-0.1716958557665884,Equity,quality,long_only
96.59955856829019,2.8770723340378876,0.2886811772408151,-0.15947899719121772,Equity,multi_factor_score,long_short
27.307654005830127,1.8929239451932167,0.333404329166811,-0.3268365419814263,Equity,multi_factor_score,long_only
3.347240655179818,0.5671638880596304,0.6681888453707879,-0.8737915594006131,Crypto,momentum,long_short
130.24427903173444,1.1448098143732872,0.8370374261414292,-0.8551583279892178,Crypto,momentum,long_only
3577242.550304969,3.0898128756069427,0.6531234725244526,-0.34956164420963254,Crypto,quality,long_short
139447.10525019804,2.035317718776097,0.8812759846084737,-0.6490894684784622,Crypto,quality,long_only
124249.54126758789,2.3624448569896153,0.677498768805953,-0.3011295582259378,Crypto,multi_factor_score,long_short
20534.520946055243,1.7005505572311497,0.9351715754977064,-0.8046378185623076,Crypto,multi_factor_score,long_only
