date,open,high,low,close,volume,ticker,return
2020-01-03,71.76565905712691,72.59404771603535,71.6086769224392,71.83328247070312,146322800,AAPL,-0.009722363919194565
2020-01-06,70.95418800651902,72.44432080433776,70.7030121336898,72.40567779541016,118387200,AAPL,0.007968386032483954
2020-01-07,72.41534488187352,72.67134838279743,71.84537704823941,72.06515502929688,108872000,AAPL,-0.004702984302908719
2020-01-08,71.76808624589498,73.52630260685811,71.76808624589498,73.22441101074219,132079200,AAPL,0.01608622060098308
2020-01-09,74.20253438813242,74.97296230565743,73.9513658951312,74.77975463867188,170108400,AAPL,0.021240780314388807
2020-01-10,75.01402769601006,75.51396196419593,74.44647000292952,74.94881439208984,140644800,AAPL,0.0022607690308005246
2020-01-13,75.26519625077637,76.57661149006776,75.1468497409281,76.55004119873047,121532000,AAPL,0.02136427133141705
2020-01-14,76.48725308231118,76.6973684411486,75.39319829942681,75.51636505126953,161954400,AAPL,-0.01350327356163561
2020-01-15,75.31590787968373,76.19742976100052,74.76042298692015,75.19273376464844,121923600,AAPL,-0.004285578184296535
2020-01-16,75.73617088763328,76.24576789106787,75.37390086098026,76.1346664428711,108829200,AAPL,0.012526910926937251
2020-01-17,76.38339587903954,76.97993392443253,76.07667669301796,76.97752380371094,137816400,AAPL,0.0110706121169164
2020-01-21,76.60560865744733,77.04757477909159,76.31820722415463,76.45587158203125,110843200,AAPL,-0.006776682282088942
2020-01-22,76.94130817856995,77.28184283508286,76.6345889237427,76.7287826538086,101832400,AAPL,0.0035695240421729224
2020-01-23,76.78188487821575,77.17796271987189,76.23364516080848,77.0982666015625,104472000,AAPL,0.00481545431811381
2020-01-24,77.34460432513401,78.08846175763553,76.68527061852724,76.87606811523438,146537600,AAPL,-0.0028820166279019954
2020-01-27,74.8836004716033,75.29658608064733,73.63256355928529,74.61552429199219,161940000,AAPL,-0.029405039548246914
2020-01-28,75.49706227081296,76.89783652233591,75.39804092914581,76.72636413574219,162234000,AAPL,0.02828955319659321
2020-01-29,78.35899064388555,79.1801343637196,77.6175430675433,78.3324203491211,216229200,AAPL,0.020932260136001135
2020-01-30,77.41468928420925,78.27205870652551,76.98237833510105,78.21892547607422,126743200,AAPL,-0.001448887606702809
2020-01-31,77.50885574859744,77.93150399168975,74.4561316996704,74.75077819824219,199588400,AAPL,-0.04433897879219617
2020-02-03,73.49248476536589,75.71199229580401,72.99014040911702,74.54548645019531,173788400,AAPL,-0.002746349308932028
2020-02-04,76.15155637582674,77.197313069489,75.74581580955447,77.00651550292969,136616400,AAPL,0.03301379023636275
2020-02-05,78.13436438960977,78.4338458330259,77.03065443292134,77.63443756103516,118826800,AAPL,0.008154141945061477
2020-02-06,77.90493506301061,78.54494373627665,77.34704001476739,78.54252624511719,105425600,AAPL,0.011696982841771675
2020-02-07,78.04141124169928,78.29076000098544,76.98349458931148,77.47492980957031,117684000,AAPL,-0.01359259100242205
2020-02-10,76.05871208817942,77.84288787841797,75.97882681770385,77.84288787841797,109348800,AAPL,0.004749382409923841
2020-02-11,78.33916745517011,78.41179042644524,77.15536130814662,77.37323760986328,94323200,AAPL,-0.006033309931772202
2020-02-12,77.8235202802382,79.21551716925477,77.8235202802382,79.21067810058594,113730400,AAPL,0.02374775242038507
2020-02-13,78.48201992249481,78.97345520254548,78.27866815708352,78.64663696289062,94747600,AAPL,-0.007120771482085564
2020-02-14,78.61514163995746,78.91533382442148,78.1576021480164,78.66598510742188,80113600,AAPL,0.00024601362853426956
2020-02-18,76.34438007526671,77.40714314738784,76.16281523598434,77.22557830810547,152531200,AAPL,-0.018310414562907606
2020-02-19,77.46766524775612,78.57400211516978,77.46766524775612,78.3440170288086,93984000,AAPL,0.014482749695196917
2020-02-20,78.10434874137093,78.59336068691168,77.0343234338156,77.540283203125,100566000,AAPL,-0.01025903261238248
2020-02-21,77.13357947900434,77.57660179653178,75.16783878997336,75.78515625,129554000,AAPL,-0.022635034083216543
2020-02-24,71.9626330750162,73.63786746473984,70.01867883709842,72.18534851074219,222195200,AAPL,-0.04750016912788002
2020-02-25,72.85593184219474,73.23842524425972,69.26820830101296,69.74027252197266,230673600,AAPL,-0.03387219206132486
2020-02-26,69.36505780076708,72.1127415782547,69.35779549989546,70.84662628173828,198054800,AAPL,0.01586391506309437
2020-02-27,68.05049624740387,69.23671826456818,66.07990918137826,66.2154769897461,320605600,AAPL,-0.06536866376071793
2020-02-28,62.27916414492055,67.39929122080478,62.06370365251087,66.17675018310547,426510000,AAPL,-0.0005848603438531885
2020-03-02,68.33616370279057,72.97454103190371,67.23225006740749,72.33785247802734,341397200,AAPL,0.09310070799600512
2020-03-03,73.5143929639958,73.59427823904339,69.18830204720706,70.04045104980469,319475600,AAPL,-0.031759325851157816
2020-03-04,71.76411894811032,73.44903883256075,70.962813265488,73.28926086425781,219178400,AAPL,0.0463847643148807
2020-03-05,71.54138326049582,72.51699133415363,70.54641152199336,70.9119644165039,187572800,AAPL,-0.03243717319181316
2020-03-06,68.26836304968833,70.40356681603825,68.08195918610811,69.97023010253906,226176800,AAPL,-0.01328033036052334
2020-03-09,63.850297174318,67.32181576257562,63.66873234822989,64.43614959716797,286744800,AAPL,-0.07909192948574106
2020-03-10,67.09184552066098,69.34324665860709,65.21082898559138,69.07695007324219,285290000,AAPL,0.07202169131903235
2020-03-11,67.15237416724361,68.07956216167183,65.81362880191305,66.6778793334961,255598800,AAPL,-0.03473040916256964
2020-03-12,61.959612728994784,65.36334796143669,60.037445534949256,60.09312438964844,418474000,AAPL,-0.09875471460202478
2020-03-13,64.12629743078345,67.76485728131117,61.23578029525555,67.29278564453125,370732000,AAPL,0.11980840284155736
2020-03-16,58.572820229839216,62.7197589173465,58.10075235573811,58.635765075683594,322423600,AAPL,-0.12864708283258885
2020-03-17,59.91882134064479,62.36389249089527,57.71341343349159,61.213985443115234,324056000,AAPL,0.04397009852440448
2020-03-18,58.04507047998226,60.52161388588787,57.40353915642415,59.7154655456543,300233600,AAPL,-0.024480025056585752
