date,portfolio_return,cumulative,asset_type
2020-01-03,0.0,1.0,Equity
2020-01-06,-0.003807090440652897,0.9961929095593471,Equity
2020-01-07,0.008718322784187419,1.0048780409002043,Equity
2020-01-08,-0.006202997604391876,0.9986447848197942,Equity
2020-01-09,-0.005752342172596014,0.9929002383086323,Equity
2020-01-10,-0.0018453485266588152,0.9910679913167503,Equity
2020-01-13,0.012690727107195357,1.0036453647392274,Equity
2020-01-14,0.005472723137698346,1.0091380379488795,Equity
2020-01-15,-0.01818121251673684,0.990790684822208,Equity
2020-01-16,0.006068513887929468,0.9968033118530828,Equity
2020-01-17,0.00515693403519805,1.001943760778376,Equity
2020-01-21,-0.0010302202569293737,1.0009115380197182,Equity
2020-01-22,0.0070798033271503025,1.0079977948567733,Equity
2020-01-23,0.004331428742670673,1.0123638654779648,Equity
2020-01-24,0.005441749401088437,1.0178728959366132,Equity
2020-01-27,-0.0041399945652994905,1.0136589076792701,Equity
2020-01-28,0.0022413463305686063,1.0159308683524453,Equity
2020-01-29,-0.013547219156514134,1.002167830231007,Equity
2020-01-30,0.014390046660807787,1.0165890720699917,Equity
2020-01-31,-0.002601334478712434,1.0139445838661338,Equity
2020-02-03,-0.011074540599133226,1.0027156134068371,Equity
2020-02-04,2.750194604731783e-05,1.0027431900375379,Equity
2020-02-05,-0.016308050483874438,0.9863904034720444,Equity
2020-02-06,0.00924231976108388,0.9955069389901975,Equity
2020-02-07,-0.012273309674074286,0.983288774045281,Equity
2020-02-10,0.01614487913042787,0.9991638524525488,Equity
2020-02-11,0.012161618497387356,1.0113153020424566,Equity
2020-02-12,-0.0144148808633342,0.9967373124482477,Equity
2020-02-13,-0.0066241192104095434,0.9901348056691274,Equity
2020-02-14,0.020716150927898247,1.0106465877423343,Equity
2020-02-18,0.0040892191697219,1.0147793431427443,Equity
2020-02-19,0.024646557673186426,1.0397901607490703,Equity
2020-02-20,-0.013740213821709275,1.0255032216106685,Equity
2020-02-21,-0.02080100223296651,1.0041717268080306,Equity
2020-02-24,-0.027692910177608956,0.9763632893746412,Equity
2020-02-25,-0.011654034571913238,0.9649847178455222,Equity
2020-02-26,0.007237537879159964,0.9719688312937397,Equity
2020-02-27,-0.022247692007991406,0.9503447680937492,Equity
2020-02-28,0.04198641948201486,0.9902463421794714,Equity
2020-03-02,0.0035596420744612445,0.9937712647231748,Equity
2020-03-03,-0.009586421017720967,0.9842445549842254,Equity
2020-03-04,0.01582493494757357,0.9998201610393543,Equity
2020-03-05,-0.02182690688152522,0.9779971794860768,Equity
2020-03-06,-0.00351530573103198,0.9745592203960962,Equity
2020-03-09,-0.04504674302415864,0.9306585016330888,Equity
2020-03-10,0.028575398265997087,0.9572524389668905,Equity
2020-03-11,-0.017339377161957804,0.9406542778884396,Equity
2020-03-12,-0.032893741279478264,0.9097126394381427,Equity
2020-03-13,0.06145548409126289,0.9656194700787543,Equity
2020-03-16,-0.05129991005906376,0.9160832781124334,Equity
2020-03-17,0.008179825214807389,0.9235766792096008,Equity
2020-03-18,-0.03304661525625944,0.8930555960321075,Equity
2020-03-19,0.0013978127454613194,0.8943039205266466,Equity
2020-03-20,-0.022742214851474613,0.8739654686235135,Equity
2020-03-23,0.04479371038919673,0.9131136247151938,Equity
2020-03-24,0.09472310821069932,0.999606585397755,Equity
